270536913  1   1   1    368.24  11.22  24.17 0.35 120-sec   
286507416  3   1   1    238.42   2.17  17.93 0.08 120-sec   
271701447  4   1   1     28.32   0.0    4.05 0.51 120-sec   
142275448  2   1   0    523.65  14.99  32.05 0.25 120-sec   
181655818  2   1   1    427.37   6.99  26.51 0.25 120-sec   
394151928  3   1   0    285.34  12.86  21.55 0.17 120-sec   
 71109681  2   1   1    216.3    3.6   16.89 0.12 120-sec   
 47067158  3   1   1    375.8    7.54  24.23 0.36 120-sec SB9
141201954  1   1   1    253.72   4.83  18.38 0.18 120-sec   
301558151  2   1   1    483.88   4.09  29.26 0.19 120-sec   
178199266  3   1   1    210.91   9.32  16.7  0.12 120-sec   
 72651515  1   1   1    374.43   7.13  24.04 0.17 120-sec   
 11907392  1   1   0    459.69  17.76  27.69 0.23 120-sec   
365480289  2   1   1    395.63   4.08  27.34 0.17 120-sec   
123699670  4   1   1    719.63   4.11  54.69 0.35 120-sec   
 51002411  2   1   1    368.47   4.14  24.1  0.11 120-sec   
146544529  1   1   0    365.19  11.74  23.84 1.08 120-sec   
367758676  1   1   1    746.68  17.21  39.76 0.09 120-sec SB9
405549529  1   1   1    331.44   7.25  22.67 0.15 120-sec   
339370583  1   1   1    283.78   7.43  20.83 0.13 120-sec   
200787827  2   1   0    289.9   17.83  19.93 0.24 120-sec   
275371234  1   1   1    427.98   9.77  28.97 0.2  120-sec   
 57983992  1   1   1    311.33  11.87  20.44 0.1  120-sec PH
265592045  1   1   1    372.58   4.57  25.43 0.27 120-sec   
460067868  1   1   1   1219.24  20.48  63.86 0.24 120-sec   
161723864  4   1   1    291.79   3.44  20.35 0.07 120-sec   
234302530  2   1   1    287.3    3.29  20.93 0.08 120-sec   
106130527  1   1   1    209.28   8.19  16.48 0.16 120-sec   
354552931  6   1   0    591.16   9.99  34.18 0.14 120-sec   
 32550970  1   1   0                              120-sec   
 82972933  3   1   1    429.65   5.92  28.59 0.2  120-sec   
243292888  1   1   1    329.14   6.77  21.08 0.13 120-sec   
 54702322  1   1   1    417.21   8.05  28.13 0.29 120-sec   
231827609  2   1   1    307.68   5.35  22.43 0.12 120-sec   
322572205  1   1   1    328.0    4.52  22.21 0.21 120-sec   
403265769  1   1   1    370.09   9.55  23.21 0.1  120-sec   
230111524 12   1   1    319.54   1.96  22.04 0.06 120-sec   
270449112  2   1   1    262.38   3.6   19.57 0.34 120-sec   
130197795  1   1   1    327.28   8.52  23.71 0.2  120-sec   
 85954780  1   1   1    313.26   4.58  22.04 0.4  120-sec   
231866127  2   1   1    333.22   7.82  22.55 0.12 120-sec   
 65449065  1   1   1    267.33   6.33  18.5  0.18 120-sec   
353331277  1   1   1    180.79   4.16  15.16 0.49 120-sec   
 55146127  1   1   1    257.18   5.76  19.02 0.24 120-sec   
396452770  5   1   1    334.04   2.94  23.52 0.1  120-sec   
299695777  1   1   0    343.06   6.26  23.84 0.17 120-sec   
382579369  7   1   1    289.05   2.99  20.4  0.05 120-sec   
428814104  3   1   1    322.66   4.99  22.38 0.15 120-sec   
180172954  3   1   0                              120-sec   
