ID,dataset,iFile,Numax,Numax_err,Dnu,Dnu_err,Teff,Teff_err,bprp,bprp_err,N_p
TIC252676979,TESS,TESS/TIC252676979.pow,1291.0,35.0,65.9,1.5,6502.0,120.0,0.60169125,0.1,10
TIC255630992,TESS,TESS/TIC255630992.pow,932.0,20.0,49.7,0.3,6124.0,120.0,0.7039294,0.1,10
TIC255854921,TESS,TESS/TIC255854921.pow,1723.0,49.0,84.8,0.9,6246.0,120.0,0.653831,0.1,10
TIC259237827,TESS,TESS/TIC259237827.pow,4217.0,122.0,182.2,0.5,5271.0,120.0,0.9943154,0.1,10
TIC259291108,TESS,TESS/TIC259291108.pow,1181.0,20.0,65.3,0.3,5690.0,120.0,0.8536248,0.1,10
TIC261136679,TESS,TESS/TIC261136679.pow,2621.0,59.0,116.6,0.5,6014.0,120.0,0.76070404,0.1,10
TIC262843771,TESS,TESS/TIC262843771.pow,1552.0,48.0,73.1,1.3,6781.0,120.0,0.56116915,0.1,10
TIC265488188,TESS,TESS/TIC265488188.pow,2635.0,60.0,119.6,0.6,5992.0,120.0,0.70557785,0.1,10
TIC267211065,TESS,TESS/TIC267211065.pow,1038.0,14.0,56.9,0.4,,120.0,0.92413735,0.1,10
TIC26884478,TESS,TESS/TIC26884478.pow,1870.0,73.0,91.9,0.9,6181.0,120.0,0.6541314,0.1,10
TIC269995013,TESS,TESS/TIC269995013.pow,1849.0,34.0,89.1,2.3,6129.0,120.0,0.59458065,0.1,10
TIC27014182,TESS,TESS/TIC27014182.pow,1759.0,67.0,82.8,1.2,6711.0,120.0,0.5560627,0.1,10
TIC27136704,TESS,TESS/TIC27136704.pow,1261.0,46.0,69.2,0.3,5719.0,120.0,0.8440647,0.1,10
TIC27533341,TESS,TESS/TIC27533341.pow,2236.0,97.0,103.5,1.1,5812.0,120.0,0.8132467,0.1,10
TIC277890728,TESS,TESS/TIC277890728.pow,1042.0,17.0,56.1,0.2,5719.0,120.0,0.83135366,0.1,10
