 27918   29778926  7.9  3.84 0.04  29.50  0.98 1 11.82  0.46 1.33 0.14
 28002   38679437  8.0 17.24 0.14 215.42  9.65 0  4.28  0.20 1.28 0.18
 28031   38678868  8.2  3.76 0.03  34.43  0.26 1 14.39  0.25 2.31 0.09
 28044   29781865  7.5  5.30 0.04  53.30  0.81 1 11.21  0.24 2.17 0.12
 28093   38680734  4.4  3.29 0.05  31.31  0.35 1 17.08  0.55 2.96 0.20
 28110   29780568  6.9  4.27 0.03  37.17  0.60 1 12.04  0.26 1.74 0.10
 28132   38680205  7.7  3.28 0.02  30.72  0.63 0 16.87  0.40 2.83 0.19
 28202  388131463  8.5  3.46 0.04  33.20  0.37 0 16.38  0.42 2.88 0.17
 28203   33861444  7.6 28.48 0.15 399.53 14.31 0  2.91  0.11 1.09 0.12
 28302   38681678  7.9  5.70 0.02  54.57  0.49 0  9.92  0.11 1.74 0.05
 28330   38696749  8.8  4.23 0.04  36.95  0.64 1 12.20  0.31 1.78 0.11
 28340   38696264  8.4 15.31 0.02 187.47  1.05 0  4.72  0.03 1.35 0.02
 28444   33863252  8.5  4.76 0.02  45.32  0.92 0 11.81  0.26 2.05 0.13
 28515   38698175  8.4  4.08 0.06  32.41  0.66 1 11.50  0.41 1.39 0.12
 28524   29829407  7.1  3.84 0.04  32.60  0.59 1 13.06  0.36 1.80 0.12
 28633   29831118  8.1  3.73 0.05  30.45  1.21 1 12.93  0.62 1.65 0.21
 28644   38709102  7.6  4.53 0.03  41.05  0.79 1 11.82  0.28 1.85 0.12
 28690  372818298  8.7  5.97 0.04  61.02  1.01 0 10.11  0.21 2.02 0.11
 28732   38759751  4.9  5.85 0.02  62.53  0.71 1 10.79  0.14 2.36 0.09
 28758   38759469  7.2  3.87 0.03  31.54  0.61 1 12.44  0.31 1.58 0.10
 28759   38759644  8.0  3.04 0.02  24.69  0.49 0 15.78  0.38 1.99 0.13
 28778   33877733  7.0  4.78 0.04  43.98  0.92 1 11.37  0.30 1.84 0.13
 28827  393490334  6.9  2.97 0.03  26.14  0.57 0 17.50  0.52 2.59 0.20
 28898   29834079  7.8  4.62 0.04  42.45  0.91 1 11.75  0.32 1.90 0.14
 28938   38761686  8.0  1.20 0.02   6.87  0.60 0 28.17  2.63 1.76 0.48
 28939  140527427  7.0  5.02 0.05  55.27  1.05 1 12.96  0.36 3.00 0.21
 29031   38763953  8.5  3.91 0.03  29.75  0.54 1 11.49  0.27 1.27 0.08
 29033  231074642  7.9  3.02 0.02  26.90  0.40 0 17.42  0.35 2.64 0.14
 29090  231074899  8.8 10.92 0.04 127.29  0.74 0  6.31  0.06 1.64 0.04
 29145  220390003  7.7  4.13 0.03  43.44  0.71 1 15.04  0.33 3.18 0.18
 29155  140511145  7.9 13.80 0.03 161.16  0.96 0  5.00  0.04 1.30 0.03
 29168   38814863  8.0  4.33 0.02  39.04  0.71 1 12.30  0.25 1.91 0.11
 29179   38814672  7.9  4.39 0.02  39.96  0.60 1 12.25  0.21 1.94 0.09
 29254   38824632  7.8  4.16 0.03  33.00  0.42 1 11.26  0.22 1.35 0.06
 29399   38828538  4.9 14.85 0.03 195.46  0.71 0  5.24  0.03 1.73 0.02
 29447  220395161  7.2 10.26 0.02 124.61  0.68 0  6.99  0.05 1.97 0.04
 29706  231090667  7.8  4.53 0.03  43.73  1.00 0 12.59  0.33 2.24 0.16
