28827  393490334  4535  91 -0.43 0.10 14.70 0.52 1.62 0.15 4
28898  29834079   5010 133 -0.49 0.19 11.06 0.39 1.57 0.14 5
28938  38761686   4268  97 -0.29 0.17 22.45 2.60 1.00 0.31 5
28939  140527427  5125 102                                 6
29031  38763953   4619  92  0.08 0.05 10.28 0.26 0.91 0.06 1
29033  231074642  4916  98 -1.08 0.40 15.35 0.51 1.90 0.16 5
29090  231074899  4973  99                                 6
29145  220390003  4925  99 -1.26 0.45 14.00 0.45 2.55 0.21 5
29155  140511145  5174 103 -0.68 0.19  4.70 0.13 1.09 0.07 5
29168  38814863   4776 113 -0.18 0.24 11.19 0.31 1.44 0.11 5
29179  38814672   4828  97                                 6
29254  38824632   4723 154 -0.29 0.20 10.12 0.30 0.99 0.08 5
29399  38828538   4825  96  0.16 0.06  4.68 0.11 1.27 0.07 2
29447  220395161  4881 112 -0.07 0.25  6.23 0.17 1.44 0.10 5
29706  231090667  4799 116 -0.20 0.20 10.97 0.41 1.56 0.15 5
29751  140580875  4954 139 -0.22 0.08 13.68 0.44 2.34 0.19 2
29781  220402024  5059 101                                 6
29782  140578874  4913 114 -0.32 0.16 10.57 0.42 1.19 0.13 5
29795  231098685  5048 131 -0.29 0.33  9.17 0.26 2.09 0.16 5
29943  38908572   4557 125 -0.22 0.36 14.89 0.63 1.78 0.21 5
30013  38942180   4871 140 -0.20 0.33  7.12 0.28 1.13 0.10 5
30014  140598178  4742  95                                 6
30032  140598409  4519 101  0.49 0.55 13.90 0.39 1.88 0.14 5
30073  38942395   4784  96 -0.10 0.19 10.45 0.31 1.66 0.12 5
30084  407616488  4545  91 -0.27 0.10 16.69 1.35 1.73 0.40 4
30229  55399173   5150 103 -2.19 0.05  7.15 0.23 1.42 0.11 1
30253  55449923   4627  93 -0.41 0.10 22.34 1.13 2.72 0.34 4
30318  55399084   4760 102  0.10 0.20  5.47 0.14 1.24 0.08 5
30319  55398886   4831  97 -0.09 0.05 10.16 0.27 1.29 0.08 1
30363  294665880  4648  93 -0.25 0.10 10.73 0.29 1.29 0.09 4
30387  220411853  4133  83  0.49 0.20 37.65 1.90 2.01 0.26 5
30441  220414486  4733  99 -0.09 0.15 11.04 0.34 1.65 0.14 5
30479  364423809  4789  96                                 6
30610  55478023   4730  95  0.00 0.10 11.07 0.20 1.52 0.07 3
30611  55478222   4720 147 -0.11 0.25 10.20 0.34 1.32 0.11 5
30630  55478693   4770  95 -0.39 0.11  8.84 0.28 1.11 0.09 5
30722  269850454  4417  88 -0.41 0.20 22.67 1.04 1.11 0.12 5
30734  220419417  4980 100 -0.31 0.22  9.70 0.34 1.70 0.16 5
30749  55480260   4857  98 -0.21 0.17 10.65 0.29 1.02 0.08 5
30790  220418532  4817  96  0.00 0.05 10.86 0.21 1.59 0.08 2
30840  407622294  4840  97 -0.01 0.05  7.49 0.21 1.55 0.11 1
31010  55523962   4977 100 -0.08 0.25 12.71 0.48 3.05 0.29 5
31012  364538492  5209 163 -0.48 0.18  8.62 0.27 2.38 0.19 5
31029  55524079   4679  94 -0.25 0.10  9.93 0.33 0.89 0.09 4
31080  294786419  5014 100 -0.40 0.10  4.67 0.14 1.33 0.10 5
31146  55524379   4919  98 -0.32 0.19 11.44 0.28 1.81 0.11 5
31187  220425438  4481  90 -0.16 0.05 17.08 4.36 1.35 0.98 5
31334  220429877  4831 121 -0.21 0.21 10.31 0.42 1.12 0.12 5
31335  294928550  4794 108 -0.12 0.16 11.00 0.44 1.41 0.14 5
31352  140634524  4948  99                                 6
31462  220431532  4937  99                                 6
31484  220431368  4452  89 -0.24 0.32 18.57 2.45 1.25 0.47 5
31485  55557796   4740  96 -0.10 0.21 11.77 0.32 1.28 0.09 5
31531  55559067   4510  90 -0.34 0.05 15.80 0.40 1.14 0.07 1
31562  29986479   5115 156 -0.57 0.25                      5
31804  220436034  4663  93 -0.08 0.10  9.20 0.22 1.25 0.08 5
32107  55653036   4674  93                                 6
32244  220458728  4676  94 -0.31 0.16 10.65 0.37 1.22 0.10 5
32258  140686990  4972  99 -0.60 0.14  6.52 0.18 1.09 0.07 5
32269  55664116   4593  92 -0.20 0.39 16.19 0.51 2.46 0.18 5
32300  55661751   4542  91  0.20 0.05 10.62 0.45 1.00 0.11 1
32355  220459451  4582  92 -0.38 0.10  9.66 0.18 1.27 0.06 4
32375  30264758   4935 144 -0.39 0.20 10.84 0.37 1.07 0.09 5
32403  30318821   4767 127 -0.11 0.29 13.78 0.52 1.67 0.15 5
32415  30399782   5084 127 -0.22 0.34 10.30 0.40 2.05 0.22 5
32427  30469371   5272 105 -0.50 0.19  9.85 0.28 1.88 0.13 5
32605  55755059   4985 100                                 6
32628  55754841   4828  97 -0.77 0.10 10.11 0.33 0.95 0.08 4
32712  220474536  4691 103 -0.28 0.28 13.11 0.43 1.22 0.10 5
32714  55756209   4396  91 -0.19 0.29 21.47 1.22 1.10 0.17 5
32744  30717182   4791  96 -0.04 0.05 10.24 0.25 1.14 0.07 1
32822  220476160  4821  96                                 6
32823  220476501  4359  87 -0.17 0.26 19.58 1.21 1.08 0.19 5
32859  260949928  4840 115 -0.18 0.21 10.99 0.30 1.27 0.09 5
32877  55781698   4274  85 -0.20 0.21 25.13 1.04 1.42 0.16 5
32932  55781619   4771  95 -0.05 0.05 10.01 0.32 0.99 0.09 1
32934  140802488  4939  99  0.03 0.05 10.55 0.55 1.48 0.22 1
32986  55848783   4449  89 -0.04 0.05 11.58 0.35 1.16 0.09 1
33060  55847781   4814  96 -0.19 0.15 10.30 0.29 1.23 0.09 5
33146  381925600  4827  97 -0.54 0.10 11.72 0.30 1.81 0.12 4
33148  30853028   4982 129 -0.47 0.15  9.81 0.39 0.77 0.08 5
33263  30761268   4923  98 -0.20 0.20  6.38 0.17 1.41 0.09 5
33285  30762159   4956 186 -0.02 0.05 23.11 1.83 3.39 0.66 2
33293  55269260   4888 123 -0.31 0.19 10.85 0.37 1.55 0.14 5
33322  55241662   4687 128 -0.56 0.25 23.24 1.27 2.36 0.31 5
33380  55272575   4729  99 -0.08 0.15 11.43 0.34 1.38 0.11 5
33409  381950542  5034 101 -0.48 0.05 10.63 0.32 1.43 0.11 1
