ID,dataset,iFile,Numax,Numax_err,Dnu,Dnu_err,Teff,Teff_err,bprp,bprp_err,N_p
EPIC248663722,K2,K2/EPIC248663722.pow,226.585,3.743,16.777,0.555,5065.0,77.0,1.0556225776672363,0.1,10
EPIC248665653,K2,K2/EPIC248665653.pow,1241.073,13.214,62.909,0.553,5859.0,77.0,0.8017206192016602,0.1,10
EPIC248687497,K2,K2/EPIC248687497.pow,2144.267,29.945,103.524,0.584,6218.0,77.0,0.6628179550170898,0.1,10
EPIC248696061,K2,K2/EPIC248696061.pow,205.016,3.864,14.736,0.368,4944.0,77.0,1.140305995941162,0.1,10
EPIC248724653,K2,K2/EPIC248724653.pow,121.179,2.91,10.258,0.48,4835.0,77.0,1.183807373046875,0.1,10
EPIC248729983,K2,K2/EPIC248729983.pow,1806.159,31.104,87.964,0.652,6225.0,77.0,0.6762304306030273,0.1,10
EPIC248760285,K2,K2/EPIC248760285.pow,412.3,3.549,26.55,0.74,4940.0,77.0,1.1648788452148438,0.1,10
EPIC248776784,K2,K2/EPIC248776784.pow,62.997,4.044,6.635,0.283,4894.0,77.0,1.087453842163086,0.1,10
EPIC248777106,K2,K2/EPIC248777106.pow,1318.848,13.648,67.474,0.65,5662.0,77.0,0.8907184600830078,0.1,10
EPIC248785352,K2,K2/EPIC248785352.pow,2132.442,25.783,105.395,0.794,5741.0,77.0,0.7848663330078125,0.1,10
EPIC248825038,K2,K2/EPIC248825038.pow,2146.571,34.841,96.759,0.617,6364.0,77.0,0.6325721740722656,0.1,10
EPIC248842300,K2,K2/EPIC248842300.pow,1625.516,34.911,80.201,0.523,6429.0,77.0,0.5993967056274414,0.1,10
EPIC248849444,K2,K2/EPIC248849444.pow,1016.262,21.457,56.463,0.571,5685.0,77.0,0.8299684524536133,0.1,10
EPIC248855475,K2,K2/EPIC248855475.pow,697.571,3.898,40.445,0.628,5018.0,77.0,1.11922025680542,0.1,10
EPIC248891803,K2,K2/EPIC248891803.pow,1236.835,22.078,63.889,0.544,6165.0,77.0,0.6954736709594727,0.1,10
EPIC249151042,K2,K2/EPIC249151042.pow,1114.069,12.325,62.127,0.55,5999.0,77.0,0.7820253372192383,0.1,10
EPIC249154730,K2,K2/EPIC249154730.pow,1665.396,23.693,81.585,0.556,6436.0,77.0,0.5993261337280273,0.1,10
EPIC249175306,K2,K2/EPIC249175306.pow,186.784,2.957,14.234,0.46,4880.0,77.0,1.1690459251403809,0.1,10
EPIC249200379,K2,K2/EPIC249200379.pow,2003.063,36.984,99.344,0.729,6093.0,77.0,0.7625036239624023,0.1,10
EPIC249404897,K2,K2/EPIC249404897.pow,1643.918,23.062,82.325,0.714,6059.0,77.0,0.8155517578125,0.1,10
EPIC249549448,K2,K2/EPIC249549448.pow,2861.216,41.839,126.63,0.696,5927.0,77.0,0.7698440551757812,0.1,10
EPIC249570007,K2,K2/EPIC249570007.pow,653.051,17.109,39.179,0.411,6395.0,77.0,0.7077817916870117,0.1,10
EPIC249580606,K2,K2/EPIC249580606.pow,1748.657,22.306,84.178,0.525,6011.0,77.0,0.7432565689086914,0.1,10
EPIC249589868,K2,K2/EPIC249589868.pow,2023.624,59.161,89.879,0.7,6496.0,77.0,0.6518344879150391,0.1,10
EPIC249602800,K2,K2/EPIC249602800.pow,1353.29,12.361,72.453,0.553,5900.0,77.0,0.7634530067443848,0.1,10
EPIC249620304,K2,K2/EPIC249620304.pow,1653.464,30.221,85.443,0.61,6053.0,77.0,0.7372207641601562,0.1,10
EPIC249627169,K2,K2/EPIC249627169.pow,533.18,3.301,34.414,0.901,5039.0,77.0,1.2244243621826172,0.1,10
EPIC249639834,K2,K2/EPIC249639834.pow,253.186,3.605,17.933,0.338,5075.0,77.0,1.1143198013305664,0.1,10
EPIC249790971,K2,K2/EPIC249790971.pow,2076.138,17.59,97.576,0.679,6059.0,77.0,0.7447853088378906,0.1,10
EPIC249810309,K2,K2/EPIC249810309.pow,1369.621,12.827,72.117,0.631,5678.0,77.0,0.8964462280273438,0.1,10
EPIC249829497,K2,K2/EPIC249829497.pow,1833.123,12.38,92.973,0.684,5787.0,77.0,0.795081615447998,0.1,10
EPIC249869231,K2,K2/EPIC249869231.pow,1462.675,33.355,75.004,0.571,6533.0,77.0,0.5819787979125977,0.1,10
EPIC249874527,K2,K2/EPIC249874527.pow,1569.688,48.973,78.614,0.507,6428.0,77.0,0.6198134422302246,0.1,10
EPIC249877325,K2,K2/EPIC249877325.pow,1775.773,39.539,80.509,0.563,6570.0,77.0,0.6691741943359375,0.1,10
EPIC249939354,K2,K2/EPIC249939354.pow,194.98,3.123,14.046,0.347,5062.0,77.0,1.2074928283691406,0.1,10
EPIC250118096,K2,K2/EPIC250118096.pow,2469.436,20.093,109.678,0.701,6172.0,77.0,0.7193074226379395,0.1,10
EPIC250141301,K2,K2/EPIC250141301.pow,2832.777,32.298,124.117,0.91,5953.0,77.0,0.7913541793823242,0.1,10
EPIC250164599,K2,K2/EPIC250164599.pow,679.659,11.205,38.813,0.421,6008.0,77.0,0.8677396774291992,0.1,10
EPIC250165973,K2,K2/EPIC250165973.pow,1588.414,13.194,83.021,0.641,5936.0,77.0,0.7378754615783691,0.1,10
